n_dims,n_cubes,operation,Z3ProductSetDNF,CanonicalHyperCubeSet
1,1,creation,0.010403,3.62E-05
1,1,add_cube,0.0107717,3.95E-05
1,1,add_hole,0.0243737,2.03E-05
1,1,contained_in,0.0178713,8.00E-07
1,1,contained_in,0.0094829,7.00E-07
1,1,contained_in,0.0341052,6.90E-06
1,1,contained_in,0.0415974,4.20E-06
1,2,creation,0.0187541,8.86E-05
1,2,add_cube,0.0103829,2.88E-05
1,2,add_hole,0.0395332,2.53E-05
1,2,contained_in,0.0547521,6.70E-06
1,2,contained_in,0.0332154,4.30E-06
1,2,contained_in,0.0545755,4.30E-06
1,2,contained_in,0.0620905,3.60E-06
1,3,creation,0.0262235,0.0001162
1,3,add_cube,0.008721,2.94E-05
1,3,add_hole,0.0353989,2.91E-05
1,3,contained_in,0.0621755,7.50E-06
1,3,contained_in,0.053929,4.60E-06
1,3,contained_in,0.0855351,5.10E-06
1,3,contained_in,0.0835847,5.00E-06
1,4,creation,0.0354338,0.0001451
1,4,add_cube,0.0087679,3.15E-05
1,4,add_hole,0.0417428,2.90E-05
1,4,contained_in,0.0846955,8.90E-06
1,4,contained_in,0.0788575,5.00E-06
1,4,contained_in,0.0992707,5.90E-06
1,4,contained_in,0.1064473,5.00E-06
2,1,creation,0.0175676,5.38E-05
2,1,add_cube,0.0174796,5.23E-05
2,1,add_hole,0.0422207,3.99E-05
2,1,contained_in,0.0314034,8.00E-07
2,1,contained_in,0.0177976,7.00E-07
2,1,contained_in,0.0896766,1.53E-05
2,1,contained_in,0.1369894,8.50E-06
2,2,creation,0.0353183,0.0001172
2,2,add_cube,0.017724,5.12E-05
2,2,add_hole,0.0773249,5.46E-05
2,2,contained_in,0.1749026,1.32E-05
2,2,contained_in,0.1892873,1.06E-05
2,2,contained_in,0.2375555,1.73E-05
2,2,contained_in,0.3708248,1.43E-05
2,3,creation,0.052351,0.0002417
2,3,add_cube,0.0165773,8.78E-05
2,3,add_hole,0.1039331,8.81E-05
2,3,contained_in,0.5334326,2.98E-05
2,3,contained_in,0.947881,2.64E-05
2,3,contained_in,0.5817758,3.92E-05
2,3,contained_in,0.9200694,3.27E-05
2,4,creation,0.0661841,0.000237
2,4,add_cube,0.0166107,6.83E-05
2,4,add_hole,0.1493147,7.21E-05
2,4,contained_in,1.4418234,2.97E-05
2,4,contained_in,4.4579814,2.72E-05
2,4,contained_in,1.3545749,3.57E-05
2,4,contained_in,2.1894585,3.07E-05
3,1,creation,0.0250299,7.70E-05
3,1,add_cube,0.0252861,7.04E-05
3,1,add_hole,0.0688607,5.93E-05
3,1,contained_in,0.0486853,7.00E-07
3,1,contained_in,0.0277879,8.00E-07
3,1,contained_in,0.1647818,1.95E-05
3,1,contained_in,0.2991481,1.26E-05
3,2,creation,0.0497726,0.0001514
3,2,add_cube,0.0247518,7.32E-05
3,2,add_hole,0.1436245,7.87E-05
3,2,contained_in,0.5738679,1.83E-05
3,2,contained_in,1.487999,1.56E-05
3,2,contained_in,0.6579179,2.63E-05
3,2,contained_in,1.3584932,2.23E-05
3,3,creation,0.0746143,0.0002285
3,3,add_cube,0.0246412,8.50E-05
3,3,add_hole,0.2328033,9.44E-05
3,3,contained_in,2.9415913,3.07E-05
3,3,contained_in,51.9186915,2.66E-05
3,3,contained_in,2.4424283,3.81E-05
3,3,contained_in,5.4698266,3.44E-05
3,4,creation,0.1060244,0.0003351
3,4,add_cube,0.0249964,9.98E-05
3,4,add_hole,0.2943823,0.000106
3,4,contained_in,13.1354195,4.33E-05
3,4,contained_in,1701.610956,3.98E-05
3,4,contained_in,9.1061656,5.24E-05
3,4,contained_in,21.632391,4.72E-05
