n_dims,n_cubes,operation,Z3ProductSet,CanonicalHyperCubeSet
4,3,creation,0.0049863,0.1924239
4,3,add_cube,0.0007408,0.0702078
4,3,add_hole,0.0006776,0.0117123
4,3,contained_in,0.0079725,0.0236865
4,3,contained_in,0.0401588,0.0035047
4,3,contained_in,0.4961599,0.0076245
4,3,contained_in,0.0080651,0.0028994
4,6,creation,0.0042854,0.1429232
4,6,add_cube,0.0006656,0.0737775
4,6,add_hole,0.0006839,0.0136311
4,6,contained_in,0.0085342,0.0362962
4,6,contained_in,0.0247231,0.0051086
4,6,contained_in,0.9750114,0.0156844
4,6,contained_in,0.0081685,0.0061437
4,9,creation,0.0062919,0.159613
4,9,add_cube,0.0006609,0.0798003
4,9,add_hole,0.0006768,0.0038969
4,9,contained_in,0.0087006,0.0586752
4,9,contained_in,0.022637,0.0087373
4,9,contained_in,0.9959897,0.0244189
4,9,contained_in,0.0081055,0.009785
4,12,creation,0.0081241,0.170372
4,12,add_cube,0.0006575,0.0820918
4,12,add_hole,0.0006618,0.0042198
4,12,contained_in,0.0092032,0.0769067
4,12,contained_in,0.0272677,0.013635
4,12,contained_in,1.9870403,0.0346681
4,12,contained_in,0.0088902,0.0145422
4,15,creation,0.0102266,0.1891735
4,15,add_cube,0.0006684,0.0926425
4,15,add_hole,0.0006755,0.0049904
4,15,contained_in,0.0094425,0.0927743
4,15,contained_in,0.0247593,0.0200865
4,15,contained_in,3.0762551,0.0483117
4,15,contained_in,0.0091137,0.0212313
4,18,creation,0.0123532,0.2126963
4,18,add_cube,0.0006626,0.1046555
4,18,add_hole,0.0006752,0.0059078
4,18,contained_in,0.0092809,0.115038
4,18,contained_in,0.0250712,0.0299192
4,18,contained_in,6.6525138,0.0661066
4,18,contained_in,0.0099844,0.0302519
4,21,creation,0.0136947,0.2421147
4,21,add_cube,0.0006581,0.109863
4,21,add_hole,0.0006745,0.0074276
4,21,contained_in,0.0097652,0.1430684
4,21,contained_in,0.0264107,0.0437389
4,21,contained_in,15.8097922,0.0875785
4,21,contained_in,0.0097525,0.0452493
4,24,creation,0.016793,0.2685718
4,24,add_cube,0.0006876,0.1184723
4,24,add_hole,0.0007094,0.0103492
4,24,contained_in,0.010304,0.8089913
4,24,contained_in,0.028592,0.086678
4,24,contained_in,25.8256191,0.1106655
4,24,contained_in,0.0100758,0.0584901
8,3,creation,0.0042192,0.00764
8,3,add_cube,0.0013159,0.0069622
8,3,add_hole,0.0013183,0.0025913
8,3,contained_in,0.0083667,0.0042193
8,3,contained_in,0.0528778,0.0042007
8,3,contained_in,1.9504457,0.0066897
8,3,contained_in,0.0082335,0.0062747
8,6,creation,0.0080975,0.0234275
8,6,add_cube,0.0012942,0.0149291
8,6,add_hole,0.0013052,0.0025616
8,6,contained_in,0.0082983,0.0119171
8,6,contained_in,0.1108059,0.0123227
8,6,contained_in,3.0815934,0.0153744
8,6,contained_in,0.0094958,0.0143644
8,9,creation,0.0123332,0.0395992
