n_dims,n_cubes,operation,Z3ProductSet,CanonicalHyperCubeSet
8,18,contained_in,10.907493,0.1170745
8,18,contained_in,0.0078527,2.0572698
8,21,creation,0.0081932,2.7777345
8,21,add_cube,0.0004086,1.0511218
8,21,add_hole,0.0004161,0.2209095
8,21,contained_in,0.0085215,3.9084952
8,21,contained_in,0.0461338,0.0531636
8,21,contained_in,25.1987775,0.0215619
8,21,contained_in,0.0080284,3.9503172
8,24,creation,0.010143,5.682094
8,24,add_cube,0.000434,2.0632356
8,24,add_hole,0.0004393,0.8190369
8,24,contained_in,0.0088373,9.42879
8,24,contained_in,0.0448985,0.0531999
8,24,contained_in,34.1492542,5.7253769
8,24,contained_in,0.0082922,9.6098516
12,3,creation,0.0044428,0.0009877
12,3,add_cube,0.0004383,0.0011125
12,3,add_hole,0.0004977,0.0004385
12,3,contained_in,0.0081534,0.0022203
12,3,contained_in,0.039444,0.0002522
12,3,contained_in,0.4226065,0.000113
12,3,contained_in,0.00747,0.0002555
12,6,creation,0.0023353,0.0181831
12,6,add_cube,0.000369,0.0143743
12,6,add_hole,0.0003663,0.0048169
12,6,contained_in,0.0082948,0.0139967
12,6,contained_in,0.0793231,0.000264
12,6,contained_in,1.1455431,0.0002238
12,6,contained_in,0.0418639,0.0019734
12,9,creation,0.0037011,0.1469706
12,9,add_cube,0.0003756,0.0507861
12,9,add_hole,0.0003946,0.0182367
12,9,contained_in,0.0092197,0.0987811
12,9,contained_in,0.0778754,0.0003211
12,9,contained_in,2.6450224,0.0017362
12,9,contained_in,0.0079421,0.0111342
12,12,creation,0.0048723,0.6364404
12,12,add_cube,0.0003828,0.3800814
12,12,add_hole,0.0003998,0.1010872
12,12,contained_in,0.0088724,0.6355277
12,12,contained_in,0.0451255,0.1427846
12,12,contained_in,3.8288473,0.1675006
12,12,contained_in,0.0078105,0.5558743
12,15,creation,0.0062208,1.0875159
12,15,add_cube,0.0004078,0.5670755
12,15,add_hole,0.000424,0.2888161
12,15,contained_in,0.0093903,1.0047806
12,15,contained_in,0.0443073,0.0538302
12,15,contained_in,9.4237364,0.0395323
12,15,contained_in,0.0079804,1.2158013
12,18,creation,0.007585,2.6284587
12,18,add_cube,0.0004275,1.4850852
12,18,add_hole,0.000434,1.3812981
12,18,contained_in,0.0086397,2.3564974
12,18,contained_in,0.0620414,0.0530188
12,18,contained_in,11.2748082,0.0853681
12,18,contained_in,0.0081045,3.4098622
12,21,creation,0.0102783,8.8227724
12,21,add_cube,0.0004427,4.907084
12,21,add_hole,0.0004519,5.0414709
12,21,contained_in,0.0088804,10.7111106
12,21,contained_in,0.0720935,0.0117043
12,21,contained_in,20.3578106,0.0173871
12,21,contained_in,0.009082,9.7747526
12,24,creation,0.0161966,26.2948211
12,24,add_cube,0.000448,3.8978488
12,24,add_hole,0.0005454,1.294848
12,24,contained_in,0.0087703,26.3821951
12,24,contained_in,0.1283636,10.7396517
12,24,contained_in,30.5776866,17.7034133
12,24,contained_in,0.0085922,30.4885893
