operation,Z3RegularStringSet,MinDFA
total_time,0.2194815999828279,0.01240239990875125
creation,7.659988477826118e-05,0.0011837000492960215
membership,0.012822500197216868,4.00003045797348e-06
creation,8.789985440671444e-05,0.0007660998962819576
membership,0.013354799943044782,3.300141543149948e-06
creation,0.00012270011939108372,0.0014582998119294643
membership,0.013371200067922473,2.400018274784088e-06
creation,9.480002336204052e-05,0.0015394999645650387
contained_in,0.008409800007939339,4.4800108298659325e-05
contained_in,0.0085871999617666,9.620003402233124e-05
union,3.7999823689460754e-05,0.00027709989808499813
membership,0.021032100077718496,3.600027412176132e-06
creation,0.0001729999203234911,0.000979200005531311
membership,0.01458240021020174,5.00003807246685e-06
subtraction,6.409990601241589e-05,0.00027529988437891006
membership,0.013721199939027429,2.9001384973526e-06
intersection,4.440010525286198e-05,0.00012109987437725067
contained_in,0.009289899840950966,1.400010660290718e-06
creation,0.00019800011068582535,0.0014008001890033484
membership,0.01434940006583929,3.899913281202316e-06
contained_in,0.00845379987731576,4.5900000259280205e-05
contained_in,0.008645400172099471,3.360002301633358e-05
contained_in,0.008546399883925915,4.1599851101636887e-05
contained_in,0.010472000110894442,7.850001566112041e-05
creation,0.0002330997958779335,0.002547900192439556
membership,0.014194500166922808,4.09991480410099e-06
contained_in,0.009327699895948172,5.530007183551788e-05
contained_in,0.0077760000713169575,4.850002005696297e-05
contained_in,0.009291199967265129,0.00011319993063807487
mixed_bool_operation,0.00012640003114938736,0.001180300023406744
contained_in,0.011995099950581789,8.489983156323433e-05
