n_dims,n_cubes,class,operation,time
5,2,CanonicalHyperCubeSet,creation,0.00020370003767311573
5,2,CanonicalHyperCubeSet,membership_test,2.2499938495457172e-05
5,2,CanonicalHyperCubeSet,membership_test,1.680001150816679e-05
5,2,CanonicalHyperCubeSet,add_cube,0.00012720003724098206
5,2,CanonicalHyperCubeSet,add_hole,0.00017770007252693176
5,2,CanonicalHyperCubeSet,contained_in,2.659996971487999e-05
5,2,CanonicalHyperCubeSet,contained_in,2.319994382560253e-05
5,2,CanonicalHyperCubeSet,contained_in,4.2800093069672585e-05
5,2,CanonicalHyperCubeSet,contained_in,3.85999446734786e-05
5,2,Z3ProductSet,creation,0.004326700000092387
5,2,Z3ProductSet,membership_test,0.008051599957980216
5,2,Z3ProductSet,membership_test,0.007808399968780577
5,2,Z3ProductSet,add_cube,0.0007482999935746193
5,2,Z3ProductSet,add_hole,0.0007520000217482448
5,2,Z3ProductSet,contained_in,0.0075130999321118
5,2,Z3ProductSet,contained_in,0.008568500052206218
5,2,Z3ProductSet,contained_in,0.008185399929061532
5,2,Z3ProductSet,contained_in,0.007581799989566207
5,4,CanonicalHyperCubeSet,creation,0.0005122000584378839
5,4,CanonicalHyperCubeSet,membership_test,2.2900057956576347e-05
5,4,CanonicalHyperCubeSet,membership_test,1.8700025975704193e-05
5,4,CanonicalHyperCubeSet,add_cube,0.0001860000193119049
5,4,CanonicalHyperCubeSet,add_hole,0.00026919995434582233
5,4,CanonicalHyperCubeSet,contained_in,7.369997911155224e-05
5,4,CanonicalHyperCubeSet,contained_in,6.890005897730589e-05
5,4,CanonicalHyperCubeSet,contained_in,9.169999975711107e-05
5,4,CanonicalHyperCubeSet,contained_in,8.589995559304953e-05
5,4,Z3ProductSet,creation,0.003041299991309643
5,4,Z3ProductSet,membership_test,0.007910200045444071
5,4,Z3ProductSet,membership_test,0.007845000014640391
5,4,Z3ProductSet,add_cube,0.0007575999479740858
5,4,Z3ProductSet,add_hole,0.0007495000027120113
5,4,Z3ProductSet,contained_in,0.0077887000516057014
5,4,Z3ProductSet,contained_in,0.007815100019797683
5,4,Z3ProductSet,contained_in,0.008568000048398972
5,4,Z3ProductSet,contained_in,0.0072231999365612864
5,6,CanonicalHyperCubeSet,creation,0.0008678999729454517
5,6,CanonicalHyperCubeSet,membership_test,2.319994382560253e-05
5,6,CanonicalHyperCubeSet,membership_test,1.8600025214254856e-05
5,6,CanonicalHyperCubeSet,add_cube,0.0006960999453440309
5,6,CanonicalHyperCubeSet,add_hole,0.00027299998328089714
5,6,CanonicalHyperCubeSet,contained_in,0.00011809996794909239
5,6,CanonicalHyperCubeSet,contained_in,0.000112100038677454
5,6,CanonicalHyperCubeSet,contained_in,0.00013409997336566448
5,6,CanonicalHyperCubeSet,contained_in,0.00012690003495663404
5,6,Z3ProductSet,creation,0.004454399924725294
5,6,Z3ProductSet,membership_test,0.00786450004670769
5,6,Z3ProductSet,membership_test,0.007374200038611889
5,6,Z3ProductSet,add_cube,0.0007428000681102276
5,6,Z3ProductSet,add_hole,0.0007372999098151922
5,6,Z3ProductSet,contained_in,0.007383499993011355
5,6,Z3ProductSet,contained_in,0.007923300028778613
5,6,Z3ProductSet,contained_in,0.008611799916252494
5,6,Z3ProductSet,contained_in,0.00765990000218153
5,8,CanonicalHyperCubeSet,creation,0.0014958999818190932
5,8,CanonicalHyperCubeSet,membership_test,2.5999965146183968e-05
5,8,CanonicalHyperCubeSet,membership_test,2.080004196614027e-05
5,8,CanonicalHyperCubeSet,add_cube,0.0003193001030012965
5,8,CanonicalHyperCubeSet,add_hole,0.00034639996010810137
5,8,CanonicalHyperCubeSet,contained_in,0.00016000005416572094
5,8,CanonicalHyperCubeSet,contained_in,0.00015789992175996304
5,8,CanonicalHyperCubeSet,contained_in,0.0001775000710040331
5,8,CanonicalHyperCubeSet,contained_in,0.00016799999866634607
5,8,Z3ProductSet,creation,0.005601499928161502
5,8,Z3ProductSet,membership_test,0.00743930006865412
5,8,Z3ProductSet,membership_test,0.007105800090357661
5,8,Z3ProductSet,add_cube,0.000708900042809546
5,8,Z3ProductSet,add_hole,0.0007036000024527311
5,8,Z3ProductSet,contained_in,0.007162700057961047
5,8,Z3ProductSet,contained_in,0.007706000003963709
5,8,Z3ProductSet,contained_in,0.00835500005632639
5,8,Z3ProductSet,contained_in,0.007302599959075451
5,10,CanonicalHyperCubeSet,creation,0.002039700048044324
5,10,CanonicalHyperCubeSet,membership_test,2.6600086130201817e-05
