operation,Z3RegularStringSet,MinDFA
total_time,0.23198719997890294,0.01384239993058145
creation,7.990002632141113e-05,0.001855399925261736
membership,0.013667399995028973,5.600042641162872e-06
creation,0.00010040006600320339,0.0008320000488311052
membership,0.01391619979403913,3.400025889277458e-06
creation,0.0001337002031505108,0.0015159999020397663
membership,0.013955899979919195,2.200016751885414e-06
creation,0.000125400023534894,0.0016608000732958317
contained_in,0.009102399926632643,4.5900000259280205e-05
contained_in,0.009128700010478497,0.00010139984078705311
union,4.9900030717253685e-05,0.00030470010824501514
membership,0.021909300005063415,3.600027412176132e-06
creation,0.00016619986854493618,0.0010656998492777348
membership,0.013944200007244945,4.90015372633934e-06
subtraction,6.220000796020031e-05,0.00028419983573257923
membership,0.013806500006467104,2.400018274784088e-06
intersection,3.809994086623192e-05,0.00012340000830590725
contained_in,0.008950400166213512,1.500127837061882e-06
creation,0.00018640002235770226,0.0014039999805390835
membership,0.01393139990977943,3.8000289350748062e-06
contained_in,0.008563400013372302,5.669984966516495e-05
contained_in,0.00868359999731183,3.6800047382712364e-05
contained_in,0.011741699883714318,4.3400097638368607e-05
contained_in,0.011362000135704875,8.33999365568161e-05
creation,0.00025240005925297737,0.0026940000243484974
membership,0.015262299915775657,4.499917849898338e-06
contained_in,0.010700799990445375,5.719996988773346e-05
contained_in,0.009235699893906713,5.030003376305103e-05
contained_in,0.010261000134050846,0.00011939997784793377
mixed_bool_operation,0.00013579986989498138,0.001380200032144785
contained_in,0.012533900095149875,9.560002945363522e-05
