mode,operation,string_set1,string_set2,string,MinDFA,Z3SimpleStringSet
constant,creation,"['ydwa', 'c', 'hcaduejpepaaexnjd', 'eyapkbpccv', 'ccqszbzgpbzkcf', 'wvafpgju', 'urbffbmfjatkupeozfuf', 'zbsccrerqnrwjvooh', 'rtcojdbphelxrxnpi', 'lkqsbazxxlvtdjvmrnmfjagskoqzv', 'wsrgeqvsqbqs', 'eopuhjrhddewwpheteinzajspolyoghhn']",[],,0.6949899999890476,0.003953400067985058
constant,membership,"['ydwa', 'c', 'hcaduejpepaaexnjd', 'eyapkbpccv', 'ccqszbzgpbzkcf', 'wvafpgju', 'urbffbmfjatkupeozfuf', 'zbsccrerqnrwjvooh', 'rtcojdbphelxrxnpi', 'lkqsbazxxlvtdjvmrnmfjagskoqzv', 'wsrgeqvsqbqs', 'eopuhjrhddewwpheteinzajspolyoghhn']",[],eg,6.00004568696022e-06,0.008009199984371662
constant,membership,"['ydwa', 'c', 'hcaduejpepaaexnjd', 'eyapkbpccv', 'ccqszbzgpbzkcf', 'wvafpgju', 'urbffbmfjatkupeozfuf', 'zbsccrerqnrwjvooh', 'rtcojdbphelxrxnpi', 'lkqsbazxxlvtdjvmrnmfjagskoqzv', 'wsrgeqvsqbqs', 'eopuhjrhddewwpheteinzajspolyoghhn']",[],gkmncxlcu,9.997747838497162e-07,0.008514499990269542
constant,membership,"['ydwa', 'c', 'hcaduejpepaaexnjd', 'eyapkbpccv', 'ccqszbzgpbzkcf', 'wvafpgju', 'urbffbmfjatkupeozfuf', 'zbsccrerqnrwjvooh', 'rtcojdbphelxrxnpi', 'lkqsbazxxlvtdjvmrnmfjagskoqzv', 'wsrgeqvsqbqs', 'eopuhjrhddewwpheteinzajspolyoghhn']",[],u,1.100124791264534e-06,0.0080228999722749
constant,membership,"['ydwa', 'c', 'hcaduejpepaaexnjd', 'eyapkbpccv', 'ccqszbzgpbzkcf', 'wvafpgju', 'urbffbmfjatkupeozfuf', 'zbsccrerqnrwjvooh', 'rtcojdbphelxrxnpi', 'lkqsbazxxlvtdjvmrnmfjagskoqzv', 'wsrgeqvsqbqs', 'eopuhjrhddewwpheteinzajspolyoghhn']",[],pofnppkdkpmr,6.00004568696022e-07,0.008838000008836389
constant,membership,"['ydwa', 'c', 'hcaduejpepaaexnjd', 'eyapkbpccv', 'ccqszbzgpbzkcf', 'wvafpgju', 'urbffbmfjatkupeozfuf', 'zbsccrerqnrwjvooh', 'rtcojdbphelxrxnpi', 'lkqsbazxxlvtdjvmrnmfjagskoqzv', 'wsrgeqvsqbqs', 'eopuhjrhddewwpheteinzajspolyoghhn']",[],zoqtmxsqwpldsxu,1.00000761449337e-06,0.0085871999617666
constant,creation,"['iuznhic', 'kdgeicr', 'drq', 'eiond']",[],,0.011520599946379662,0.00045870011672377586
constant,membership,"['iuznhic', 'kdgeicr', 'drq', 'eiond']",[],eg,3.200024366378784e-06,0.008094600168988109
constant,membership,"['iuznhic', 'kdgeicr', 'drq', 'eiond']",[],gkmncxlcu,9.0012326836586e-07,0.006976499920710921
constant,membership,"['iuznhic', 'kdgeicr', 'drq', 'eiond']",[],u,6.00004568696022e-07,0.007382800104096532
