n_dims,n_cubes,operation,Z3ProductSet,CanonicalHyperCubeSet
5,3,creation,0.0049827,0.0005387
5,3,membership_test,0.0081863,2.00E-05
5,3,membership_test,0.00785,1.47E-05
5,3,add_cube,0.0007602,0.0006458
5,3,add_hole,0.0007908,0.0002552
5,3,contained_in,0.0077763,6.22E-05
5,3,contained_in,0.0091416,1.78E-05
5,3,contained_in,0.0086531,3.52E-05
5,3,contained_in,0.0077455,9.82E-05
5,6,creation,0.0045747,0.0029566
5,6,membership_test,0.0077553,3.22E-05
5,6,membership_test,0.007784,2.05E-05
5,6,add_cube,0.0007796,0.0009483
5,6,add_hole,0.0007973,0.00122
5,6,contained_in,0.0077641,0.000251
5,6,contained_in,0.008589,1.85E-05
5,6,contained_in,0.0089953,4.62E-05
5,6,contained_in,0.008367,0.0003287
5,9,creation,0.0069684,0.0092615
5,9,membership_test,0.0084,9.00E-05
5,9,membership_test,0.007932,3.86E-05
5,9,add_cube,0.0007379,0.0021986
5,9,add_hole,0.0007353,0.0013618
5,9,contained_in,0.007465,0.0005411
5,9,contained_in,0.0084529,0.0001808
5,9,contained_in,0.0088953,0.0003956
5,9,contained_in,0.0077176,0.0007927
5,12,creation,0.0086556,0.0131611
5,12,membership_test,0.0081246,3.40E-05
5,12,membership_test,0.0077743,3.79E-05
5,12,add_cube,0.0007438,0.0045512
5,12,add_hole,0.0007806,0.0025771
5,12,contained_in,0.0073575,0.0011083
5,12,contained_in,0.0082718,6.88E-05
5,12,contained_in,0.0085766,7.14E-05
5,12,contained_in,0.0077119,0.0013869
5,15,creation,0.0180949,0.0391609
5,15,membership_test,0.0103115,3.60E-05
5,15,membership_test,0.0082581,3.05E-05
5,15,add_cube,0.0008114,0.0039093
5,15,add_hole,0.0007864,0.0085525
5,15,contained_in,0.0074185,0.0028251
5,15,contained_in,0.0084777,2.91E-05
5,15,contained_in,0.0103943,0.0022583
5,15,contained_in,0.0078437,0.0047035
5,18,creation,0.0133909,0.0666861
5,18,membership_test,0.0082782,4.64E-05
5,18,membership_test,0.0077399,4.00E-05
5,18,add_cube,0.0007406,0.0263637
5,18,add_hole,0.0007561,0.018824
5,18,contained_in,0.0075167,0.003618
5,18,contained_in,0.0086935,0.0020326
5,18,contained_in,0.0096003,5.09E-05
5,18,contained_in,0.0077341,0.0045832
5,21,creation,0.015694,0.0969289
5,21,membership_test,0.0085376,3.01E-05
5,21,membership_test,0.007755,3.55E-05
5,21,add_cube,0.0007682,0.0135976
5,21,add_hole,0.000825,0.0186319
5,21,contained_in,0.0080688,0.0065419
5,21,contained_in,0.008079,0.0030323
5,21,contained_in,0.0089595,0.0007246
5,21,contained_in,0.0074169,0.0086166
5,24,creation,0.0180748,0.1925542
5,24,membership_test,0.008325,5.11E-05
5,24,membership_test,0.0074162,3.79E-05
5,24,add_cube,0.0007625,0.0195411
5,24,add_hole,0.0007592,0.0476568
5,24,contained_in,0.0104636,0.0125549
5,24,contained_in,0.0102676,2.42E-05
5,24,contained_in,0.0088406,0.0107958
5,24,contained_in,0.0074089,0.0142581
10,3,creation,0.0043786,0.000887
10,3,membership_test,0.0079201,2.39E-05
10,3,membership_test,0.0075503,1.69E-05
10,3,add_cube,0.0014014,0.0008322
10,3,add_hole,0.0014284,0.0003364
10,3,contained_in,0.0074519,5.91E-05
10,3,contained_in,0.0080974,1.72E-05
10,3,contained_in,0.0081231,3.47E-05
10,3,contained_in,0.0072741,0.0001023
10,6,creation,0.008756,0.006242
10,6,membership_test,0.0079591,4.36E-05
10,6,membership_test,0.0077038,3.55E-05
10,6,add_cube,0.0014485,0.0058466
10,6,add_hole,0.0014089,0.0028037
10,6,contained_in,0.0076602,0.0004425
10,6,contained_in,0.0081456,3.09E-05
10,6,contained_in,0.0089428,8.30E-05
10,6,contained_in,0.0074179,0.0006403
10,9,creation,0.0131006,0.0422494
10,9,membership_test,0.0086295,6.24E-05
10,9,membership_test,0.0076629,5.48E-05
10,9,add_cube,0.0014323,0.028614
10,9,add_hole,0.0014746,0.0152474
10,9,contained_in,0.0074407,0.0019418
10,9,contained_in,0.0082737,4.25E-05
10,9,contained_in,0.0085041,0.0008623
10,9,contained_in,0.0074157,0.0029049
10,12,creation,0.0296088,0.105741
10,12,membership_test,0.0113381,7.41E-05
10,12,membership_test,0.008063,5.72E-05
10,12,add_cube,0.0014386,0.0353148
10,12,add_hole,0.0014518,0.0657817
10,12,contained_in,0.0078636,0.0071901
10,12,contained_in,0.0086428,7.50E-05
10,12,contained_in,0.0091604,0.0023595
10,12,contained_in,0.0078088,0.0134266
10,15,creation,0.022389,0.3384806
10,15,membership_test,0.0085531,7.46E-05
10,15,membership_test,0.0078489,5.88E-05
10,15,add_cube,0.0014613,0.2028031
10,15,add_hole,0.0014593,0.2407515
10,15,contained_in,0.007641,0.0161594
10,15,contained_in,0.0083972,3.83E-05
10,15,contained_in,0.0092586,0.0001606
10,15,contained_in,0.0077804,0.0224583
10,18,creation,0.0283419,1.466043
10,18,membership_test,0.0084946,8.77E-05
10,18,membership_test,0.0080946,6.73E-05
10,18,add_cube,0.0014071,0.8471256
10,18,add_hole,0.0013954,0.3484031
10,18,contained_in,0.0079649,0.0369131
10,18,contained_in,0.0084628,0.0119716
10,18,contained_in,0.0093086,0.0001716
10,18,contained_in,0.0077129,0.0449722
10,21,creation,0.0342626,3.2533645
10,21,membership_test,0.0086563,6.43E-05
10,21,membership_test,0.0079235,6.73E-05
10,21,add_cube,0.0015806,0.621284
10,21,add_hole,0.0014067,0.249364
10,21,contained_in,0.0079015,0.0776441
10,21,contained_in,0.0081762,0.0329305
10,21,contained_in,0.0087451,0.0110786
10,21,contained_in,0.0076082,0.114092
10,24,creation,0.0432079,6.7631083
10,24,membership_test,0.0087346,7.72E-05
10,24,membership_test,0.0077636,7.17E-05
10,24,add_cube,0.0013645,3.1170317
10,24,add_hole,0.0013921,2.0153663
10,24,contained_in,0.0077855,0.1878994
10,24,contained_in,0.0083426,6.08E-05
10,24,contained_in,0.009161,0.0008696
10,24,contained_in,0.0075943,0.2743397
15,3,creation,0.0064585,0.0012836
15,3,membership_test,0.0081169,2.79E-05
15,3,membership_test,0.0078278,1.92E-05
15,3,add_cube,0.0020455,0.0010596
15,3,add_hole,0.0020568,0.0004176
15,3,contained_in,0.0075163,5.98E-05
15,3,contained_in,0.0083749,1.71E-05
15,3,contained_in,0.0082968,3.47E-05
15,3,contained_in,0.0075489,0.0001129
15,6,creation,0.012888,0.0073874
15,6,membership_test,0.0091541,5.07E-05
15,6,membership_test,0.0081855,4.02E-05
15,6,add_cube,0.0020793,0.0068666
15,6,add_hole,0.0021186,0.0035645
15,6,contained_in,0.0077681,0.0004133
15,6,contained_in,0.0086049,2.85E-05
15,6,contained_in,0.0088713,7.78E-05
15,6,contained_in,0.0076795,0.0006457
15,9,creation,0.0190591,0.0509494
15,9,membership_test,0.0089913,7.24E-05
15,9,membership_test,0.0084463,6.37E-05
15,9,add_cube,0.0020472,0.0419817
15,9,add_hole,0.0020945,0.0187749
15,9,contained_in,0.0077398,0.0018632
15,9,contained_in,0.0082451,4.09E-05
15,9,contained_in,0.0090652,0.0001506
15,9,contained_in,0.0078159,0.0029039
15,12,creation,0.0256636,0.299985
15,12,membership_test,0.0087237,9.93E-05
15,12,membership_test,0.0078566,8.79E-05
15,12,add_cube,0.0020418,0.2533954
15,12,add_hole,0.0021339,0.1489414
15,12,contained_in,0.0076701,0.0081903
15,12,contained_in,0.0084143,5.48E-05
15,12,contained_in,0.0088518,0.0002409
15,12,contained_in,0.0075269,0.0131681
15,15,creation,0.0363863,1.6018205
15,15,membership_test,0.0089023,0.0001209
15,15,membership_test,0.0079726,0.0001021
15,15,add_cube,0.0020398,0.3896859
15,15,add_hole,0.0020967,1.102084
15,15,contained_in,0.0077854,0.052128
15,15,contained_in,0.0086367,8.59E-05
15,15,contained_in,0.0092793,0.0153468
15,15,contained_in,0.0077631,0.0463676
15,18,creation,0.044014,3.6135086
15,18,membership_test,0.0092094,0.00012
15,18,membership_test,0.0083053,9.78E-05
15,18,add_cube,0.0020699,1.8045139
15,18,add_hole,0.0020973,2.712829
15,18,contained_in,0.008103,0.0822499
15,18,contained_in,0.0088273,7.63E-05
15,18,contained_in,0.0094337,0.00153
15,18,contained_in,0.0079926,0.1382943
15,21,creation,0.0602225,12.9000877
15,21,membership_test,0.0084884,0.0001441
15,21,membership_test,0.0078011,0.0001006
15,21,add_cube,0.0019717,8.3811101
15,21,add_hole,0.0020467,11.1816179
15,21,contained_in,0.0080874,0.2802087
15,21,contained_in,0.0088632,8.16E-05
15,21,contained_in,0.009181,0.0022318
15,21,contained_in,0.0074571,0.4460357
15,24,creation,0.1024779,61.7769327
15,24,membership_test,0.0089581,0.0001618
15,24,membership_test,0.0087443,0.0001016
15,24,add_cube,0.0021059,40.1460975
15,24,add_hole,0.0020893,47.0797372
15,24,contained_in,0.0078143,0.9355687
15,24,contained_in,0.0084979,7.64E-05
15,24,contained_in,0.0090825,0.0003698
15,24,contained_in,0.0073812,1.3400089
